ACCOUNT TRANSACTION HISTORY

Name:, J, Sample
Account:, 62399912345, [FNB Platinum Cheque Account]
Balance:, 4934.81, 5952.86

Date, Amount, Balance, Description
2026/07/15, -125.00, 4934.81, #MONTHLY ACCOUNT FEE
2026/07/15, -1000.00, 5059.81, HOME/ADMIN/FS
2026/07/01, -11051.75, 6059.81, PPS       000124331736 0XXE22
2026/07/01, -5000.00, 17111.56, C19-13/SELLING/FS
2026/06/25, 11000.00, 22111.56, SAMPLE SENDER
2026/06/15, -40.00, 11111.56, #MONTHLY ACCOUNT FEE
2026/06/05, -346.50, 11151.56, #MONTHLY ACCOUNT FEE
2026/06/02, -150.00, 11498.06, SAMPLE CHARITY DONATIO
2026/06/01, -11051.75, 11648.06, PPS       000124331736 0XUC92
2026/05/29, 11000.00, 22699.81, SAMPLE SENDER
2026/05/15, -495.00, 11699.81, #MONTHLY ACCOUNT FEE
